payment_id,order_id,payment_date,amount,payment_method,status
PAY0087,ORD0087,2026-01-19T04:13:00Z,4829.88,NETBANKING,CAPTURED
PAY0088,ORD0088,2026-01-11T11:02:00Z,12098.09,CARD,CAPTURED
PAY0089,ORD0089,2026-01-19T02:51:00Z,7541.81,NETBANKING,CAPTURED
PAY0090,ORD0090,2026-01-22T16:46:00Z,11000.63,NETBANKING,CAPTURED
PAY0091,ORD0091,2026-01-19T08:33:00Z,891.01,NETBANKING,CAPTURED
PAY0092,ORD0092,2026-01-20T22:13:00Z,1717.24,UPI,CAPTURED
PAY0093,ORD0093,2026-01-16T07:38:00Z,4272.27,CARD,FAILED
PAY0094,ORD0094,2026-01-18T16:12:00Z,11537.83,CARD,CAPTURED
PAY0095,ORD0095,2026-01-25T23:13:00Z,7319.45,UPI,CAPTURED
PAY0096,ORD0096,2026-01-03T06:12:00Z,11827.88,UPI,CAPTURED
PAY0097,ORD0097,2026-01-08T08:31:00Z,12668.82,CARD,CAPTURED
PAY0098,ORD0098,2026-01-11T08:13:00Z,8677.56,CARD,CAPTURED
PAY0099,ORD0099,2026-01-06T15:20:00Z,9285.44,CARD,CAPTURED
PAY0100,ORD0100,2026-01-15T14:55:00Z,8890.93,CARD,CAPTURED
