order_id,customer_id,order_date,amount,currency,status
ORD0030,CUST4872,2026-01-23T12:27:00Z,2911.51,INR,PAID
ORD0031,CUST1960,2026-01-01T12:22:00Z,2887.24,INR,PAID
ORD0032,CUST5673,2026-01-26T17:03:00Z,6633.61,INR,PAID
ORD0033,CUST4111,2026-01-04T01:53:00Z,4802.26,INR,PAID
ORD0034,CUST6138,2026-01-28T00:05:00Z,1328.9,INR,PAID
ORD0035,CUST3579,2026-01-24T12:42:00Z,1324.75,INR,PAID
ORD0036,CUST2113,2026-01-12T02:55:00Z,10290.58,INR,PAID
ORD0037,CUST5033,2026-01-03T05:25:00Z,8894.33,INR,PAID
ORD0038,CUST9565,2026-01-13T06:50:00Z,5087.36,INR,PAID
ORD0039,CUST6147,2026-01-19T10:19:00Z,3960.95,INR,PAID
ORD0040,CUST5915,2026-01-04T17:15:00Z,7129.76,INR,PAID
ORD0041,CUST2638,2026-01-11T02:50:00Z,1562.28,INR,PAID
ORD0042,CUST6718,2026-01-12T12:50:00Z,13272.53,INR,PAID
ORD0043,CUST8179,2026-01-15T04:26:00Z,12589.3,INR,PAID
ORD0044,CUST1128,2026-01-26T15:47:00Z,10184.02,INR,PAID
ORD0045,CUST3200,2026-01-06T06:55:00Z,4334.76,INR,PENDING
ORD0046,CUST5462,2026-01-11T00:04:00Z,4585.47,INR,PAID
ORD0047,CUST5325,2026-01-12T20:18:00Z,7828.43,INR,PAID
ORD0048,CUST7939,2026-01-03T10:10:00Z,12525.55,INR,PAID
ORD0049,CUST5291,2026-01-21T12:37:00Z,2842.94,INR,PAID
ORD0050,CUST1158,2026-01-08T04:49:00Z,2122.17,INR,PAID
ORD0051,CUST3426,2026-01-03T07:42:00Z,6731.91,INR,PAID
ORD0052,CUST6862,2026-01-12T18:34:00Z,3546.11,INR,PAID
ORD0053,CUST7658,2026-01-08T10:49:00Z,14620.64,INR,PAID
ORD0054,CUST3900,2026-01-02T13:05:00Z,13280.53,INR,PAID
ORD0055,CUST5065,2026-01-06T08:05:00Z,4368.68,INR,PENDING
ORD0056,CUST4644,2026-01-22T08:47:00Z,3393.81,INR,PAID
ORD0057,CUST4652,2026-01-10T04:57:00Z,843.13,INR,PAID
ORD0058,CUST2137,2026-01-14T02:53:00Z,14519.89,INR,PAID
ORD0059,CUST7548,2026-01-25T19:42:00Z,10353.01,INR,PAID
ORD0060,CUST5279,2026-01-13T11:58:00Z,3089.23,INR,PAID
ORD0061,CUST8119,2026-01-15T16:38:00Z,5512.46,INR,PAID
ORD0062,CUST2894,2026-01-27T15:48:00Z,6085.33,INR,PAID
ORD0063,CUST8144,2026-01-25T22:08:00Z,524.52,INR,PAID
ORD0064,CUST6967,2026-01-16T10:40:00Z,6753.81,INR,PAID
ORD0065,CUST3041,2026-01-15T02:02:00Z,10936.44,INR,PAID
ORD0066,CUST7691,2026-01-14T20:57:00Z,5229.65,INR,PENDING
ORD0067,CUST7888,2026-01-18T16:08:00Z,10141.48,INR,PAID
ORD0068,CUST5930,2026-01-01T10:27:00Z,6388.09,INR,PAID
ORD0069,CUST8043,2026-01-29T00:39:00Z,11893.5,INR,PAID
ORD0070,CUST8238,2026-01-11T03:26:00Z,6911.32,INR,PAID
ORD0071,CUST3780,2026-01-14T07:59:00Z,10053.34,INR,PAID
ORD0072,CUST6491,2026-01-12T02:33:00Z,1854.11,INR,PAID
ORD0073,CUST4262,2026-01-03T12:29:00Z,2636.63,INR,PAID
ORD0074,CUST2193,2026-01-27T14:48:00Z,7103.53,INR,PAID
ORD0075,CUST7547,2026-01-01T16:04:00Z,4037.77,INR,PAID
ORD0076,CUST4585,2026-01-24T23:45:00Z,3050.36,INR,PAID
ORD0077,CUST5082,2026-01-06T22:34:00Z,13803.32,INR,PAID
ORD0078,CUST9702,2026-01-28T12:24:00Z,14824.44,INR,PAID
ORD0079,CUST9270,2026-01-26T08:26:00Z,6687.74,INR,PAID
ORD0080,CUST8777,2026-01-12T16:04:00Z,7026.01,INR,PAID
ORD0081,CUST9540,2026-01-12T07:20:00Z,7526.66,INR,PAID
ORD0082,CUST5681,2026-01-16T16:51:00Z,3900.16,INR,PAID
ORD0083,CUST3267,2026-01-18T20:23:00Z,2687.04,INR,PAID
ORD0084,CUST4505,2026-01-19T23:13:00Z,1431.32,INR,PAID
ORD0085,CUST7812,2026-01-20T12:55:00Z,1402.85,INR,PAID
ORD0086,CUST1320,2026-01-27T14:49:00Z,12922.61,INR,PAID
ORD0087,CUST6763,2026-01-19T03:59:00Z,4829.88,INR,PAID
ORD0088,CUST9947,2026-01-11T10:54:00Z,12098.09,INR,PAID
ORD0089,CUST8140,2026-01-19T02:45:00Z,7541.81,INR,PAID
ORD0090,CUST7624,2026-01-22T16:31:00Z,11000.63,INR,PAID
ORD0091,CUST9751,2026-01-19T08:23:00Z,891.01,INR,PAID
ORD0092,CUST1444,2026-01-20T22:10:00Z,1717.24,INR,PAID
ORD0093,CUST1823,2026-01-16T07:34:00Z,4272.27,INR,PENDING
ORD0094,CUST6529,2026-01-18T16:07:00Z,11537.83,INR,PAID
ORD0095,CUST2341,2026-01-25T23:12:00Z,7319.45,INR,PAID
ORD0096,CUST2124,2026-01-03T05:59:00Z,11827.88,INR,PAID
ORD0097,CUST4266,2026-01-08T08:27:00Z,12668.82,INR,PAID
ORD0098,CUST2874,2026-01-11T08:05:00Z,8677.56,INR,PAID
ORD0099,CUST3749,2026-01-06T15:07:00Z,9285.44,INR,PAID
ORD0100,CUST2771,2026-01-15T14:45:00Z,8890.93,INR,PAID
