settlement_id,payment_id,settlement_date,gross_amount,fee,net_amount,status
SET0030,PAY0030,2026-01-25T12:35:00Z,2911.51,58.23,2853.28,SETTLED
SET0031,PAY0031,2026-01-03T12:29:00Z,2887.24,57.74,2829.5,SETTLED
SET0032,PAY0032,2026-01-28T17:14:00Z,6633.61,132.67,6500.94,SETTLED
SET0033,PAY0033,2026-01-06T02:03:00Z,4802.26,96.05,4706.21,SETTLED
SET0034,PAY0034,2026-01-30T00:13:00Z,1328.9,26.58,1302.32,SETTLED
SET0035,PAY0035,2026-01-26T12:44:00Z,1324.75,26.5,1298.25,SETTLED
SET0036,PAY0036,2026-01-14T03:02:00Z,10290.58,205.81,10084.77,SETTLED
SET0037,PAY0037,2026-01-05T05:35:00Z,8894.33,177.89,8716.44,SETTLED
SET0038,PAY0038,2026-01-15T06:54:00Z,5087.36,101.75,4985.61,SETTLED
SET0039,PAY0039,2026-01-21T10:22:00Z,3960.95,79.22,3881.73,SETTLED
SET0040,PAY0040,2026-01-03T17:16:00Z,7129.76,142.6,6987.16,SETTLED
SET0041,PAY0041,2026-01-13T02:59:00Z,1562.28,31.25,1531.03,SETTLED
SET0042,PAY0042,2026-01-14T12:56:00Z,13272.53,265.45,13007.08,SETTLED
SET0043,PAY0043,2026-01-17T04:36:00Z,12589.3,251.79,12337.51,SETTLED
SET0044,PAY0044,2026-01-28T15:52:00Z,10184.02,203.68,9980.34,SETTLED
SET0045,PAY0045,2026-01-08T07:07:00Z,4334.76,86.7,4248.06,SETTLED
SET0046,PAY0046,2026-01-13T00:16:00Z,4585.47,91.71,4493.76,SETTLED
SET0047,PAY0047,2026-01-14T20:33:00Z,7828.43,156.57,7671.86,SETTLED
SET0048,PAY0048,2026-01-05T10:11:00Z,12525.55,250.51,12275.04,SETTLED
SET0049,PAY0050,2026-01-10T04:58:00Z,2122.17,42.44,2079.73,SETTLED
SET0050,PAY0051,2026-01-05T07:47:00Z,6731.91,134.64,6597.27,SETTLED
SET0051,PAY0052,2026-01-14T18:45:00Z,3546.11,70.92,3475.19,SETTLED
SET0052,PAY0053,2026-01-10T11:04:00Z,14520.64,292.41,14228.23,SETTLED
SET0053,PAY0054,2026-01-04T13:08:00Z,13280.53,265.61,13014.92,SETTLED
SET0054,PAY0055,2026-01-08T08:12:00Z,4368.68,87.37,4281.31,SETTLED
SET0055,PAY0056,2026-01-24T08:53:00Z,3393.81,67.88,3325.93,SETTLED
SET0056,PAY0057,2026-01-12T05:04:00Z,843.13,16.86,826.27,SETTLED
SET0057,PAY0058,2026-01-16T02:59:00Z,14519.89,290.4,14229.49,SETTLED
SET0058,PAY0059,2026-01-27T19:48:00Z,10353.01,207.06,10145.95,SETTLED
SET0059,PAY0060,2026-01-15T11:59:00Z,3089.23,61.78,3027.45,SETTLED
SET0060,PAY0061,2026-01-17T16:45:00Z,5512.46,110.25,5402.21,SETTLED
SET0061,PAY0064,2026-01-18T10:50:00Z,6753.81,135.08,6618.73,SETTLED
SET0062,PAY0065,2026-01-17T02:11:00Z,10936.44,218.73,10717.71,SETTLED
SET0063,PAY0066,2026-01-16T21:06:00Z,5229.65,104.59,5125.06,SETTLED
SET0064,PAY0067,2026-01-20T16:19:00Z,10141.48,202.83,9938.65,SETTLED
SET0065,PAY0068,2026-01-03T10:32:00Z,6388.09,127.76,6260.33,SETTLED
SET0066,PAY0069,2026-01-31T00:50:00Z,11893.5,237.87,11655.63,SETTLED
SET0067,PAY0070,2026-01-13T03:35:00Z,6911.32,138.23,6773.09,SETTLED
SET0068,PAY0071,2026-01-16T08:08:00Z,9953.34,201.07,9752.27,SETTLED
SET0069,PAY0072,2026-01-14T02:44:00Z,1854.11,37.08,1817.03,SETTLED
SET0070,PAY0073,2026-01-05T12:33:00Z,2636.63,52.73,2583.9,SETTLED
SET0071,PAY0074,2026-01-29T14:52:00Z,7103.53,142.07,6961.46,SETTLED
SET0072,PAY0075,2026-01-03T16:19:00Z,4037.77,80.76,3957.01,SETTLED
SET0073,PAY0076,2026-01-26T23:53:00Z,3050.36,61.01,2989.35,SETTLED
SET0074,PAY0077,2026-01-08T22:42:00Z,13803.32,276.07,13527.25,SETTLED
SET0075,PAY0078,2026-01-30T12:30:00Z,14824.44,296.49,14527.95,SETTLED
SET0076,PAY0079,2026-01-28T08:34:00Z,6687.74,133.75,6553.99,SETTLED
SET0077,PAY0080,2026-01-14T16:18:00Z,7026.01,140.52,6885.49,SETTLED
SET0078,PAY0081,2026-01-14T07:25:00Z,7526.66,150.53,7376.13,SETTLED
SET0079,PAY0082,2026-01-18T16:57:00Z,3900.16,78.0,3822.16,SETTLED
SET0080,PAY0083,2026-01-20T20:35:00Z,2687.04,53.74,2633.3,SETTLED
SET0081,PAY0084,2026-01-21T23:19:00Z,1431.32,28.63,1402.69,SETTLED
SET0082,PAY0085,2026-01-22T13:02:00Z,1402.85,28.06,1374.79,SETTLED
SET0083,PAY0087,2026-01-21T04:13:00Z,4829.88,96.6,4733.28,SETTLED
SET0084,PAY0088,2026-01-13T11:02:00Z,12098.09,241.96,11856.13,SETTLED
SET0085,PAY0089,2026-01-21T02:51:00Z,7541.81,150.84,7390.97,SETTLED
SET0086,PAY0090,2026-01-24T16:46:00Z,11000.63,220.01,10780.62,SETTLED
SET0087,PAY0091,2026-01-21T08:33:00Z,891.01,17.82,873.19,SETTLED
SET0088,PAY0092,2026-01-19T22:13:00Z,1717.24,34.34,1682.9,SETTLED
SET0089,PAY0093,2026-01-18T07:38:00Z,4272.27,85.45,4186.82,SETTLED
SET0090,PAY0094,2026-01-20T16:12:00Z,11537.83,230.76,11307.07,SETTLED
SET0091,PAY0095,2026-01-27T23:13:00Z,7319.45,146.39,7173.06,SETTLED
SET0092,PAY0096,2026-01-05T06:12:00Z,11827.88,236.56,11591.32,SETTLED
SET0093,PAY0097,2026-01-10T08:31:00Z,12668.82,253.38,12415.44,SETTLED
SET0094,PAY0098,2026-01-13T08:13:00Z,8577.56,173.55,8404.01,SETTLED
SET0095,PAY0099,2026-01-05T15:20:00Z,9285.44,185.71,9099.73,SETTLED
SET0096,PAY0100,2026-01-17T14:55:00Z,8890.93,177.82,8713.11,SETTLED
